term_str,n,n_chars,p,i,max_pos,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
confidence,81,10,9.222067382572342e-05,13.404550267356695,NN,64,2.0279059965698845,129.7859837804726,0.00017970806878241365,0.04690380595220997,0.0,0.0026735741550031433
confidences,10,11,1.1385268373546102e-05,16.422472175353956,NN,7,5.22055107451228,36.54385752158596,6.582893884673407e-05,0.017181353038997593,0.0,0.005073421841119806
confident,18,9,2.0493483072382983e-05,15.574475268799008,JJ,17,3.940443155319545,66.98753364043226,8.043961089371176e-05,0.02099473844325877,0.0,0.0024383930416581345
confidential,10,12,1.1385268373546102e-05,16.422472175353956,JJ,9,4.857980995127572,43.721828956148144,6.305706067653464e-05,0.01645789283657554,0.0,0.0028830747745564223
confidentially,3,14,3.4155805120638303e-06,18.159437769520164,RB,3,6.442943495848728,19.328830487546185,2.1132349963204812e-05,0.005515543340396456,0.0,0.0033176846013639174
confidently,11,11,1.252379521090071e-05,16.28496865160402,RB,11,4.568474377932588,50.253218157258466,6.204336305111981e-05,0.016193317756342265,0.0,0.0022285240867963843
confiding,2,9,2.2770536747092203e-06,18.744400270241318,VB,2,7.027905996569885,14.05581199313977,4.087265472287807e-05,0.010667762882671177,0.0,0.008050293237766192
confine,8,7,9.108214698836881e-06,16.744400270241318,VB,8,5.027905996569885,40.22324797255908,4.12636342510685e-05,0.010769808539528879,0.0,0.0034110624128696637
confined,9,8,1.0246741536191492e-05,16.574475268799006,VB,8,5.027905996569885,40.22324797255908,4.101980946918948e-05,0.010706170271458457,0.0,0.002706085035828786
confinement,3,11,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,2.1193055667102413e-05,0.00553138752911373,0.0,0.0027939911083472366
confining,1,9,1.1385268373546102e-06,19.744400270241318,VB,1,8.027905996569885,8.027905996569885,3.0819900323904074e-06,0.0008043993984538963,0.0,0.0008043993984538963
confirm,11,7,1.252379521090071e-05,16.28496865160402,VB,11,4.568474377932588,50.253218157258466,4.297879346817547e-05,0.011217465095193797,0.0,0.002378175105639036
confirmation,3,12,3.4155805120638303e-06,18.159437769520164,NN,3,6.442943495848728,19.328830487546185,2.4436529794746195e-05,0.006377934276428757,0.0,0.003170739909374374
confirmatory,1,12,1.1385268373546102e-06,19.744400270241318,VB,1,8.027905996569885,8.027905996569885,3.857802649348585e-06,0.0010068864914799807,0.0,0.0010068864914799807
