term_str,n,max_pos
attics,1,NN
attire,3,NN
attitude,30,NN
attract,7,VB
attraction,7,NN
attractions,1,NN
attractive,3,NN
attribute,1,VB
attributes,1,NN
au,2,NN
auburn,4,NN
auction,1,NN
audacious,1,NN
audacity,3,NN
audience,3,NN
audiences,1,NN
august,1,NN
auguste,3,NN
aunt,11,NN
author,2,NN
authoritatively,1,VB
authority,9,NN
auto,1,NN
autocrat,2,NN
autocratically,1,NN
automatic,8,NN
automobile,3,NN
autopsy,5,NN
autres,1,NN
autumn,1,NN
avail,6,VB
ave,1,NN
avenge,2,VB
avenue,1,NN
average,4,NN
avert,2,VB
avidity,2,NN
avocations,1,NN
avoid,13,VB
await,4,VB
awake,5,NN
awaken,5,VB
awakening,3,NN
away,85,NN
awe,4,NN
awful,5,NN
awfully,1,VB
awhile,1,NN
awkward,2,NN
awkwardbut,1,NN
awkwardly,3,NN
awkwardness,2,NN
awoke,2,NN
axiom,2,NN
ay,1,NN
b,1,NN
babble,1,NN
babe,1,NN
babel,2,NN
babethat,1,NN
baby,4,NN
babys,1,NN
back,148,NN
backand,1,NN
backfire,1,NN
background,11,NN
backing,1,NN
backsliding,1,NN
backstairs,1,NN
backwards,1,NN
backwoods,1,NN
bacon,11,NN
bad,8,NN
badge,3,NN
badly,14,NN
badtheyre,1,VB
baffle,2,VB
baffled,4,NN
baffling,1,NN
bag,29,NN
baggage,1,NN
bah,7,NN
bailiff,1,NN
baint,1,NN
bait,6,NN
baize,2,NN
bake,1,VB
baker,1,NN
bakers,2,NN
balance,8,NN
balcony,7,NN
bald,3,NN
balderdash,2,NN
ball,6,NN
balloon,1,NN
ballooncomme,1,NN
balloonswollen,1,NN
balls,4,NN
balmy,1,NN
banalities,1,NN
banana,1,NN
band,12,NN
bandage,1,NN
bandages,1,NN
bandits,1,NN
bane,1,NN
bang,9,NN
banging,2,NN
banish,1,VB
banisters,2,NN
bank,8,NN
banki,1,NN
banking,2,NN
bannisters,1,NN
banter,2,NN
bar,11,NN
barbaric,1,NN
barber,1,NN
barbers,2,NN
bare,16,NN
barefoot,1,NN
bargain,16,NN
bargaining,1,NN
barks,1,NN
barmaid,4,NN
barmaids,1,NN
barnes,1,NN
baron,6,NN
barred,1,NN
barrier,2,NN
barrister,1,NN
barrow,2,NN
barrowful,1,NN
bars,1,NN
bas,2,NN
base,2,NN
basement,3,NN
baser,1,NN
basin,2,NN
basket,10,NN
baskets,2,NN
basketsa,1,NN
bastinadoed,1,NN
bat,1,NN
bath,4,NN
bathers,1,NN
bathing,1,NN
bathrobe,1,NN
bathroom,3,NN
batman,1,NN
battalions,1,NN
battered,1,NN
battle,9,NN
battles,1,VB
bay,3,NN
bazaar,2,NN
be,2448,VB
beach,7,NN
beam,2,NN
beaming,3,VB
bean,6,NN
beand,1,VB
bear,19,VB
beard,49,NN
bearded,1,NN
beards,2,NN
beardwhich,1,NN
bearer,2,NN
bearing,9,NN
beast,3,NN
beat,22,NN
beaten,2,NN
beating,5,NN
beats,2,NN
beau,1,NN
beautiful,8,NN
beautifully,1,NN
