doc_a,doc_b,cityblock,euclidean,cosine,jaccard,dice,js
61168,70114,21.153470895149418,0.5585449657190592,0.8907808265680128,0.7140053111649924,0.5552163763691865,0.6665796963468957
65238,69087,21.51314886717483,0.6225867602817866,0.8956541697765809,0.6884709730171709,0.5249376558603491,0.6487102932395084
65238,70114,21.40624389410572,0.6234767621963596,0.9067901669587715,0.6934272842786184,0.5307223057200955,0.6537968201743996
69087,70114,32.99332075885408,1.02690833915292,0.7988487407191978,0.6518794446325771,0.4835468475257473,0.6136560210977173
244,863,43.51801205888951,1.0377214419649983,0.8839347897730258,0.6812817904374364,0.5166242382164622,0.6329693260964757
244,1155,38.898286025902785,1.3790062230267006,0.9289872284210546,0.6776630839629669,0.5124738451633671,0.6409856424524616
244,58866,30.41430639390319,0.9697710865277789,0.8114286981958629,0.667233945995008,0.5006384608836298,0.6198608009697393
244,61168,23.031824648830117,0.596557521716184,0.7039144715984981,0.6609930743044958,0.49364425352853514,0.6174918052256354
244,65238,34.000292395715064,1.2666399565532727,0.8714664718928085,0.6581103222282906,0.49043549043549045,0.6150746903168599
244,69087,35.6822129616555,1.2843176766613897,0.9077033118005576,0.686491171054057,0.522639175257732,0.6496628434351769
244,70114,35.46924578527259,1.3084220042834802,0.9111385144220753,0.6666302805370593,0.49995906672124435,0.6353966569174677
244,834,35.33023012497912,1.3086373135443508,0.9144493878141889,0.6673168617251842,0.5007318263132217,0.632662862244156
244,1661,42.545774720526154,1.5611378180348248,0.9235060796514551,0.6486204013377926,0.479969064191802,0.6184288766498838
244,2097,47.76676486120015,1.5091385022728072,0.8833359876791267,0.6412778805882926,0.4719713261648745,0.6013884240026207
244,3070,44.26624867107257,1.762465079487604,0.9211404147145996,0.6395171924130236,0.4700663535376128,0.6050317209078454
244,3289,40.87235073404094,1.5134521299851345,0.9149178635523387,0.6664572206513771,0.49976441024030155,0.6216222365705322
834,863,35.52629413433423,1.3243203302768978,0.9005069682950397,0.6335170893054024,0.4636114248830079,0.6097396836575613
834,1155,16.635876830297235,0.3022832219693361,0.5937945069392281,0.6613109906357811,0.4939989691480745,0.5879358693617458
