book_id,chap_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
834,7,0.37910243416359185,4.0064103397225983e-05,4.00641031495513e-05,4.006410330060066e-05,4.0064102844278295e-05,4.0064103209227034e-05,4.006410345173297e-05,4.006410314599384e-05,4.006410333741831e-05,4.00641033234249e-05,4.0064103489489827e-05,4.0064102674499926e-05,4.0064102816109265e-05,4.0064103237243144e-05,4.0064103593088997e-05,0.6201764119789589,4.006410354633375e-05,4.006410297430141e-05,4.00641033946871e-05,4.0064102564142734e-05
834,8,4.374453295462294e-05,4.37445328752212e-05,4.3744532678189406e-05,4.374453269259051e-05,4.374453212706766e-05,4.3744532616550846e-05,4.374453279012001e-05,4.374453241679244e-05,4.37445327631965e-05,4.3744532772298304e-05,4.374453284200743e-05,4.3744531969539904e-05,4.374453219535763e-05,4.37445326706216e-05,4.374453394091877e-05,0.9991688538800532,4.3744532856598594e-05,4.374453237196341e-05,4.374453247990098e-05,4.3744531933541384e-05
834,9,0.5877005461502607,4.690431612269726e-05,4.690431585100885e-05,4.69043160874128e-05,4.690431557701772e-05,4.690431579237855e-05,4.690431615984096e-05,4.6904315635537384e-05,4.690431632904029e-05,4.690431640725852e-05,0.035237698032311485,4.690431539677305e-05,4.690431548178328e-05,4.69043161474896e-05,0.22049784141723583,0.15581344534573954,4.6904316297079074e-05,4.690431577378557e-05,4.6904316196487515e-05,4.6904315197058094e-05
834,10,4.397537492056451e-05,4.3975374761637364e-05,4.397537467639614e-05,4.39753745000086e-05,4.397537405057982e-05,4.3975374213499894e-05,4.3975374754101617e-05,4.3975374150141247e-05,0.0765385913069362,4.397537458574249e-05,4.397537486104809e-05,4.3975373861166334e-05,4.397537402783322e-05,4.3975374698779645e-05,0.3942589199646992,0.37266868884031246,0.1558301938974031,4.397537427641177e-05,4.3975374520382756e-05,4.3975373790731384e-05
834,11,0.526580739425649,1.591343121450069e-05,1.5913431294659503e-05,1.5913431235912652e-05,1.5913431080082693e-05,1.591343112403149e-05,1.591343128683001e-05,1.5913431136347402e-05,1.5913431298000594e-05,1.591343122158059e-05,1.591343130875933e-05,1.5913430951249775e-05,1.5913431078648768e-05,1.5913431265466638e-05,0.1409670274739579,0.22315025035145475,0.10904736785017338,1.5913431149258844e-05,1.5913431183844406e-05,1.591343093572938e-05
863,1,0.19552044668543278,1.9223376028942256e-05,0.025873303121009706,1.9223375933195806e-05,1.922337576140339e-05,1.922337584131589e-05,1.9223376032853752e-05,1.922337577632969e-05,1.922337599430858e-05,1.9223375987448812e-05,0.060458737242556064,1.922337574585698e-05,1.9223375745719395e-05,1.9223375964453894e-05,1.922337602112893e-05,1.922337609504792e-05,0.7178399389367383,1.922337580465409e-05,1.922337590587975e-05,1.922337562478381e-05
863,2,1.3234515924467e-05,1.3234515933236247e-05,1.323451584972584e-05,1.323451584935026e-05,1.323451570201747e-05,1.3234515812388511e-05,1.3234515855858972e-05,1.3234515683145827e-05,1.3234515852542694e-05,1.3234515852673517e-05,0.11897637128866193,1.3234515671151504e-05,1.3234515710718522e-05,1.3234515851714943e-05,1.3234515890492594e-05,1.3234515899344299e-05,0.8807854074268124,1.3234515748855082e-05,1.3234515821204388e-05,1.3234515616742856e-05
863,3,1.737921482849307e-05,1.7379214906665357e-05,1.737921475527944e-05,1.7379214769681603e-05,1.7379214541164847e-05,1.737921480937044e-05,1.737921476433931e-05,1.7379214598776074e-05,1.737921475354584e-05,1.7379214712702442e-05,1.7379214822448598e-05,1.7379214479173965e-05,1.7379214560513647e-05,1.737921477927426e-05,1.7379214775515726e-05,1.737921479789085e-05,0.9996697949204694,1.7379214627374915e-05,1.737921478866292e-05,1.7379214459521455e-05
1155,1,0.0004672897272077331,0.0004672897309294843,0.0004672897265891633,0.000467289727413739,0.0004672897243414231,0.0004672897221038367,0.9911214951821674,0.00046728972096150205,0.00046728972917819885,0.0004672897269127344,0.00046728973238326267,0.00046728972469882506,0.00046728972398005355,0.000467289728833563,0.00046728972973498275,0.0004672897270445085,0.0004672897451614501,0.00046728972427279714,0.0004672897264588682,0.00046728971962646396
1155,2,0.00011737089426448104,0.00011737089356629056,0.00011737089412877724,0.00011737089368474949,0.0001173708930330922,0.00011737089281863403,0.00011737089464083408,0.00011737089223329701,0.00011737089471042715,0.09609840708993254,0.00011737089461629915,0.00011737089214223709,0.00011737089299181023,0.00011737089403907626,0.00011737089425176083,0.00011737089421907435,0.9017889168261924,0.00011737089311303663,0.00011737089340220794,0.00011737089201891314
1155,3,0.00012315271222788164,0.00012315271182084653,0.00012315271095064657,0.0001231527110469504,0.00012315271058763684,0.0001231527108826424,0.00012315271224342468,0.00012315271040001598,0.00012315271159734728,0.0001231527116458879,0.00012315271645658909,0.00012315270951329628,0.00012315270986683625,0.0001231527115091586,0.000123152711881297,0.00012315271195003315,0.9976600984839883,0.00012315271072710376,0.0001231527113444398,0.00012315270935974782
1155,4,0.0001773049675591254,0.000177304966767576,0.00017730496647840597,0.00017730496688109294,0.00017730496554868358,0.0001773049657655998,0.00017730496813201545,0.0001773049665257697,0.00017730496713542986,0.00017730496742899142,0.00017730496944188894,0.0001773049645538536,0.00017730496576613913,0.00017730496794842013,0.00017730496800769132,0.0001773049682585106,0.9966312056299497,0.00017730496594775793,0.00017730496736420283,0.00017730496453916046
1155,5,0.00010395010616934722,0.00010395010557374527,0.028893621269887475,0.00010395010539297719,0.00010395010492338266,0.00010395010633244119,0.00010395010594467146,0.00010395010455621935,0.00010395010595229656,0.00010395010587714268,0.00010395010643797526,0.0001039501043085391,0.00010395010459552044,0.00010395010641466574,0.00010395010637403857,0.00010395010617083069,0.969235276829695,0.00010395010507086479,0.00010395010637260645,0.00010395010395022802
1155,6,0.00018248175513591578,0.00018248175440674429,0.0001824817538732848,0.0001824817546111938,0.00018248175430628482,0.00018248175451723067,0.0001824817560914518,0.00018248175283704565,0.00018248175545356374,0.00018248175479590708,0.00018248175790230688,0.00018248175198505478,0.0001824817526376089,0.00018248175620221222,0.00018248175571390223,0.00018248175521072557,0.9965328466614441,0.00018248175331064275,0.00018248175773994874,0.0001824817518249905
1155,7,0.0001470588266507037,0.00014705882581039176,0.0001470588258072426,0.00014705882532960448,0.00014705882548549464,0.00014705882491509257,0.00014705882688985697,0.00014705882389580107,0.00014705882625524964,0.00014705882609001168,0.00014705882707665612,0.00014705882372811763,0.00014705882434021622,0.0001470588269030693,0.00014705882662213775,0.0001470588266437326,0.9972058823117308,0.00014705882481404702,0.00014705882748217993,0.00014705882352956113
1155,8,0.00015015015316979238,0.00015015015254460302,0.00015015015169947467,0.00015015015213796912,0.00015015015106928825,0.00015015015170559567,0.0001501501536096834,0.0001501501504745474,0.00015015015263206426,0.00015015015237537403,0.00015015018891428866,0.00015015015030108198,0.00015015015105020166,0.00015015015322040795,0.00015015015368336239,0.00015015015329828736,0.9971471470745702,0.00015015015147224904,0.00015015015192121721,0.0001501501501502788
1155,9,0.6316466781207926,9.34579458194452e-05,9.345794531219224e-05,9.345794542994555e-05,9.345794458177557e-05,9.345794549238913e-05,9.345794620188686e-05,9.345794427309744e-05,9.345794561431238e-05,9.345794540736582e-05,0.1828281927318595,9.345794419689126e-05,9.345794454299213e-05,9.345794538208941e-05,9.34579461705532e-05,9.34579458203532e-05,0.18393634407907297,9.345794477565845e-05,9.345794532883937e-05,9.345794392534328e-05
1155,10,9.578544290801188e-05,9.578544226977903e-05,9.57854418276623e-05,9.578544175072532e-05,9.578544213539716e-05,9.578544405361352e-05,9.578544270020556e-05,9.5785441774494e-05,9.578544244996903e-05,9.578544272153924e-05,9.578544293377044e-05,9.57854429224526e-05,9.578544126850205e-05,9.578544235257213e-05,9.578544276955713e-05,9.578544482971318e-05,0.9981800765937635,9.578544166230038e-05,9.578544229297716e-05,9.578544061313016e-05
