term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
locked,2.428611015954442,0.050000001090864575,0.050000000446430624,0.05,0.05,0.05,1.0499999988868327,0.05000000009349298,2.1205833540844585,0.05,1.216005073162018,0.05,0.05,0.05,0.050000000069991175,0.05,1.4348005561821509,0.05,0.05,0.05
locket,4.049999999196315,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000054954812,0.05,1.0499999999584573,0.05,0.05,0.05,0.050000000068265944,0.05000000016487197,0.05000000004705299,0.05,0.05,0.05
locks,0.05000000030350974,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.050000001135356804,2.0500000001467313,0.05000015078575583,0.05,0.05,1.0499999967249183,0.05000000058557196,0.05000000211378785,2.0499998481747803,0.05,0.05,0.05
lodge,5.35670347523984,0.05,0.050000000582534274,0.05,0.05,0.05000000098905188,13.87981623976465,0.05,3.0499999999873983,0.05,14.612222690651812,0.05,0.05,0.05,73.71352609517973,0.46224783037871253,2.2754836671965215,0.05,0.05,0.05
lodge gates,1.9833683856099569,0.05,0.05000000087901051,0.05,0.05,0.050000001700866326,0.05,0.05,0.05,0.05,3.916536408262551,0.05,0.05,0.05,0.05,0.05,1.2500952035224664,0.05,0.05,0.05
lodge man,0.05,0.05,0.05,0.05,0.05,0.05,0.050000000228979144,0.05,0.05,0.05,0.050000000048731126,0.05,0.05,0.05,5.049999999569956,0.05000000011060729,0.0500000000351041,0.05,0.05,0.05
lodger,0.475928753523533,0.05,0.05000000031325137,0.05,0.05,0.05,1.0260400761715343,0.05,1.173201818923384,0.05000000003017352,0.05,0.05,0.05,0.05,2.848797482424805,0.0501483732338411,1.725883495343109,0.05,0.05,0.05
lodges,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000008951062,0.05,0.050000000568244184,0.05,0.050000000022398586,0.05,0.05,0.05,5.049999998164252,0.050000000969510267,0.050000000176595345,0.05,0.05,0.05
lodgings,2.194395615573672,0.05,0.050000000053789656,0.05,0.05,0.05000000013337038,0.05000000004420981,0.050000000052201746,0.050000000227706586,0.05,0.2449192002753452,0.05,0.05,1.0500000000254863,8.547496342365084,8.117189713726171,0.14599912749915261,0.05,0.05,0.05
loft,1.0066710237172154,0.05,0.05,0.05000000047912816,0.05,0.05,0.05,0.050000000872676004,0.05,0.0590004967347252,0.05000392084569194,0.05,0.05,0.05,4.084324556809254,0.050000000526718436,0.05,0.05,0.05,0.05
log,0.05,0.050000000457015976,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.4867533749529807,0.05,0.05,0.05,4.613246591652408,0.05000000090488108,0.050000032011602684,0.05,0.05,0.05
lone,0.05287411785173011,0.05,0.050000034818686,0.05,0.05,0.05,0.8143033589036822,0.05,4.013161643818279,0.050000001366076116,4.785123160761304,0.05,0.05,0.05,0.05016594433782194,0.0500000000191135,0.5843717381015755,0.05,0.05,0.05
long,7.034012366329027,1.5735889555421432,0.050000000179126515,0.050000000064989045,0.9098053115036806,0.05,1.9347308335903324,0.05000000070149654,0.05000000680278066,1.322281458871252,0.745018477309783,0.05,0.05,2.986642127357678,21.943374075191215,5.29138479499186,6.764320242215153,0.05,2.044841349318182,0.05
longer,6.116334899985285,2.5218500310074696,0.05000135574341204,0.05,0.05586202784344289,0.050000000459745134,0.05,0.05,1.50288096690812,0.05,11.837650884437945,0.05,0.05000000041364403,0.05,0.05000000032400083,4.262826177374176,8.05259363564829,0.05,0.050000019826151355,0.05
longing,0.0502795484987725,0.05,0.05,0.05,0.05,0.05000000526855031,0.05,0.05,1.0497204515174863,0.05,0.05000000126857429,0.05,0.05,0.05,0.05,2.7482955113904697,2.351704482029643,0.05,0.05,0.05
look,29.456208718170235,6.012077711628774,1.3583791898385567,1.0972206252746448,0.05000000175391539,0.05000000005034978,11.786120998697129,0.30678788948687585,5.61476135123509,9.614185684629872,59.95735650658002,0.05,0.050000000082386364,2.712574739729845,33.87711913953809,26.13674009418274,74.78528910064634,0.05,3.9851782484418843,0.05
look eyes,0.050000000709639225,0.05000000012534708,0.0500000009450216,0.05,0.05,0.05,0.05000000012992779,0.050000000286909804,0.05,0.050000000131514004,4.56108929789009,0.05,0.05,0.05,3.3022353273706355,1.0939242301900411,2.242751142191819,0.05,0.05,0.05
look face,3.6165021649758256,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000008602491,0.05000000006382489,0.050000000589147,0.050000001127910726,0.05,0.05,0.05,0.050000000475838836,1.2355263745807201,4.2979714580752475,0.05,0.05,0.05
look man,0.050000000680069524,1.0500000000045875,0.05,0.05,0.05,0.05,0.4093494179632437,0.05,0.05000000049578228,1.7156029940783433,1.05994243405317,0.05,0.05,0.05,2.356158029013936,3.690416313280326,0.06853081040090013,0.05,0.05,0.05
look round,1.5372028469756944,0.05,0.05,0.0500000022457449,0.05,0.05,0.7253315013037774,0.05,0.0500000002983905,0.05,0.15219817416882547,0.05,0.05,0.05,1.2534381876365304,0.050000000789088284,3.5818292865345667,0.05,0.05,0.05
looking,0.05000003947177577,0.10575099624545,0.05,0.05,0.05,0.05,1.009250788211197,0.05,6.5349127311820085,0.050000000407525336,0.5619500211284674,0.05,0.05,1.0352300238643766,0.8460316459891403,4.261852559798873,4.045021193660178,0.05,0.05,0.05
looks,5.210113486898186,0.0500000011296021,1.0500000000727685,1.0159851742990478,0.05,0.05,0.3878471338096692,0.05,0.05000000043074432,1.790333594147767,1.863937021659449,0.1355433947755143,0.05,0.05,1.245454779913765,3.7507695622359503,0.05001585059412168,0.05,0.05,0.05
loot,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,6.049999999994474,0.05,0.05,0.05,0.05,0.05
lord,4.085210522361024,0.05,0.05,0.05,0.05,0.05,1.0082411649532437,0.05,0.05,0.05,10.692301091179479,0.05,0.05,0.05,0.1486828935394596,14.044734846265849,1.3208294816695307,0.05,0.05,0.05
lordship,1.0499999999939897,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5.3977162606476625,0.05,0.05,0.05,0.05,0.05000632732001828,0.7022774120175789,0.05,0.05,0.05
loss,2.5401281523467083,0.0500000000485334,2.1210520532347337,0.050000000054881664,0.05,0.05,2.596595370201748,0.05000000081271216,2.797461323997668,0.0500000001779283,11.192470458027381,0.05,0.05,0.050000000080003014,8.13285538904692,9.3660065584697,6.653430693470494,0.05,0.05,0.05
lot,6.338144786635536,1.1019821629989108,1.6899798941306376,0.3246536900248147,0.05,0.0500000001299485,9.281524976663333,0.05,3.596134328615588,7.782032535135532,53.53154721910281,0.05000000024375129,0.05,5.265969963918327,1.6968062439550096,2.9321751934797677,44.09583836105192,0.05,3.01321064388076,0.05
lot people,1.4303155243648715,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.050844557342384356,2.692369229465031,3.9608388547004076,0.05,0.05,1.0500000000403376,0.05,0.05,0.11563183406746935,0.05,0.05,0.05
lots,0.05000000014732169,0.05,0.05000000007668736,0.05,0.05,0.05,1.4620819552782203,0.05,0.05000000050757036,0.0500000008337884,4.9713468535238095,0.05000000117205065,0.05,0.05,0.05000000030692755,0.050000000418197195,11.716571187715763,0.05,0.05,0.05
loud,0.05000000002625068,1.0450392892572409,0.05496071071410237,0.05,0.05,0.05,2.049999999851252,0.05000001322857181,0.05,0.05,1.061410302416575,0.05,0.05,0.05,0.050000003982486906,0.05000000050602369,2.0385896799773904,0.05,0.05,0.05
louder,3.5149829224973015,0.05,0.05,0.05,0.05,0.05,2.0499999453524267,1.0034454440217366,0.05170766127743244,0.05,0.050000293939061406,0.05,0.05,0.05,1.6297739271996465,0.05000000079764107,0.050089804888169207,0.05,0.05,0.05
lounge,0.05,0.050000000312307856,0.05,0.05,0.05,0.05,0.2003945091669368,0.05,0.05,1.0500000000438818,3.879672261222385,0.05,0.05,0.05,0.05000000008289731,0.05,2.069933229151353,0.05,0.05,0.05
love,7.481337123070415,14.922733894362702,5.665912572117004,2.069807172865024,0.05,0.050000000236044596,3.2580271290027354,0.05000000177810629,4.000766034744164,4.668762677681978,22.541174020872567,0.05,1.0500000004099812,1.0499999995432798,16.284185264968585,4.488711522518712,35.16858258577427,0.05,0.05000000002126783,0.05
love affair,1.6366698471124255,0.050000002161299344,0.05000002792320929,0.05,0.05,0.05000000024440728,3.0499999711912467,0.05,0.05,0.05,1.0951054692460385,0.05,0.05,0.05,0.050000003118353946,0.05,2.418224678950969,0.05,0.05,0.05
lover,5.833330694417796,7.951644822766851,0.05000000279017583,0.05,0.05,0.05000066711241239,1.2359844155390984,0.05,0.09692045864008392,0.05,3.011240519164704,0.05,0.05,1.0500000000470944,0.11671181895276642,5.361362520175824,0.7928040803630632,0.05,0.05,0.05
lovers,1.2669613170085958,0.05,0.05000000045989458,0.05,0.05,0.05,0.050000000069818584,0.050000001143969394,0.05,0.05,0.0500000010592647,0.05,0.05,0.05,6.385967504328352,0.05000000058932888,1.4970711753122832,0.05,0.05,0.05
low,1.6511167085873513,0.05,0.05000000003284465,0.05,0.05,0.05,0.05,0.05000001693461588,0.05000000040614502,0.05,3.1255390088823782,0.05,0.05000000169347418,0.05,3.396047554957639,1.0259222777185446,0.0513744307555652,0.05,0.05,0.05
luck,5.849690925704212,0.050000000921674836,0.05000000075710112,0.05006430355986484,0.05,0.05,2.1060218676348157,0.050000000328008574,3.858078827029682,1.2432909842772402,14.144391753550396,0.05,0.05,0.05142020104505478,18.521428557886274,0.5196221723046205,11.139963912175116,0.05,0.06602649279054759,0.05
luggage,1.7489974864087188,0.05,0.05,0.05,0.05,0.05,3.492502313255617,0.05,0.050000000175036,2.050000000102887,8.96071039097928,0.05,0.05,2.0500000001202117,0.16008127232080124,11.862414795120946,3.0752937414873114,0.05,0.05,0.05
lunatic,1.0554420280683519,0.05000000005713574,1.0275055343255386,0.05,0.05,0.05,0.050393103579638394,0.050000000200162834,0.05000000038553022,0.05000000100380589,3.4587781035516554,0.05,0.0500000017459698,0.05,0.05,0.05000000002263023,1.9425746634864172,0.05,0.7653065635415348,0.05
lunch,5.713168942411689,0.05000000021639838,2.2922166010196787,0.05,0.05,0.05000000002353848,0.050000000009979256,0.050000000247151864,1.6601299823895597,4.973393571037051,32.10806919932018,0.05,0.05,2.2469380126381466,5.574055369017309,0.1175976865610705,16.764430635079087,0.05,0.05,0.05
lunch time,0.05000000028286063,0.05,3.6514515840362503,0.05,0.05,0.05,0.05,0.05,1.049999883005411,0.05000011695778402,2.7246260169061993,0.05,0.05,0.05,0.05000000018796438,0.05000000001928236,2.773922398580595,0.05,0.05,0.05
luncheon,4.528015075661502,0.05,0.050000000878102795,0.05,0.05,0.05,0.05,0.05,0.05000000033416032,0.8725991244876168,1.6235485416314843,0.05,0.05,0.05,2.268151520489521,0.05131644919333054,2.9563692872906904,0.05,0.05,0.05
lusitania,0.05,0.05,0.050000000132595084,0.05,0.05,0.05,2.0438050322167327,0.05,0.05,0.05,1.966524287393745,0.05,0.05,0.05000001719417358,0.05,0.05,10.13967066304697,0.05,0.05,0.05
lying,0.05,0.050000000077997916,0.05000000094912203,0.05,0.05,0.05,0.10350960167687781,0.05,0.05,0.05,7.379801471561874,0.05,0.05,2.0500000001269014,0.052200109086879824,2.003481292887228,1.7110075236076923,0.05,0.05,0.05
lynx,0.05,0.05,0.05,0.05,0.9776711064632904,0.05,0.05,0.05,0.05,0.05,0.050000000100528685,0.05,0.05,0.05,0.05000000108278601,0.05,4.122328892340257,0.05,0.05,0.05
là,0.05000000029831802,0.05000000113834142,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000030327548,0.05,0.05,0.05,0.05,0.05,6.049999998248881,0.05,0.05,0.05
maam,0.05,0.05,0.05,0.05,2.9050448759701557,0.05,0.05,0.05,0.05,0.05,0.050000000145470125,0.05,0.05,0.05,0.05,0.05,11.194955123876053,0.05,0.05,0.05
machine,0.050033055625437535,0.05,1.0493347003349853,0.05,0.05,0.050000000653180596,0.8609572305811609,0.05,0.05065116694695886,1.0500000000162326,1.3442460756387622,0.05,0.05,1.050000000030376,0.05000000006831287,16.944777769867862,0.050000000215807326,0.05,0.05,0.05
machinery,1.0499999997184903,0.05000000007771257,0.050000000076940596,0.05,0.05,0.05,1.0097539167489116,0.05000000014693844,0.05000000010901876,0.05,1.1381318458145107,0.05,0.05,0.05,3.002114236973661,1.0499999999967216,0.05000000030505931,0.05,0.05,0.05
