term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
lot,-0.0034420522789658085,0.0023132469196812,0.00677543919485022,0.008767666470531028,-0.011403215561960106,0.005940926159401991,-0.004139825191133248,-0.00047082673600701286,0.0023635310530880083,-0.0041963244380308455
account,0.005905564653006048,0.0018233580280739804,-0.004097000818043808,0.002804901543715324,0.008744789591147193,-0.0015944677255779777,0.0017724161598877217,-0.008560719683715357,0.0033743248177131036,-0.00589496223950195
appearance,-0.0029215593053508234,0.00031939483533196037,-0.0067426127614056705,-0.0015036637221898152,0.004389781478835487,0.0015344392761280868,0.0008191700690728387,-0.0032671513057821455,0.0018499574734336457,0.0010197994459333892
order,0.002915683674874889,-0.0011046587279472868,-0.003465094951255521,-0.0026603713017430857,0.0027463962425834693,-0.004878250495200633,0.007947293063751703,0.006884696567745041,0.0033009748853600196,0.006359117373821804
doctor,0.008845193043144404,-0.01170428997851676,-0.003068497144782855,0.021203954891420577,0.005136799336859073,0.0012315044035429033,0.004163123723983838,-0.01930174653276978,0.015088614961102753,0.008344975489672252
trouble,0.0016203796260880826,0.0026415899932467784,-0.005768936402042503,0.003912982641296575,0.0005214016869393731,-0.0017957888528805583,-0.0012770220808225848,0.008371970573914256,0.002552755776138449,-0.002691037647694794
brown,-0.029518633617639102,-0.02457775536791017,0.002674160093258908,0.00038592420135839193,-0.010959613149855866,-3.1862835201419365e-05,-0.006300140874566233,-0.001710284897644354,0.0002868864452918729,0.003709077749774914
facts,0.005004838688300479,-0.002289574153162357,-0.008510738464249776,-0.000993432787196751,0.015051116281470132,-0.0036114974678046305,-0.006729397169096612,-0.0067544793552413995,0.004592772911540366,0.0004897899364609826
note,-0.005334228941240015,-0.0034853800581238987,-0.0016966840045413811,-0.0029393426808527992,0.004076376664152157,0.0015913656132804592,0.007236364142901883,-0.005739855866084751,-0.0019599597118052092,0.00797227611164103
information,0.0010124049930164724,-0.00391111265954546,0.0010793213771198044,0.007681088564776096,0.002021077903608806,-0.0050685158760032465,-0.0016703138168067731,-0.0008967781949000431,0.0031263011910390784,0.00926224846396495
dr,0.015676800818754062,-0.008230513707232063,-0.026987231861555622,0.02521330499428992,0.05797330892067109,0.0243712170918295,-0.06791574135424672,0.03224639313267411,0.01203344102600502,-0.00958262953872311
hair,0.005873532183233201,-0.0021277210193164898,-0.001739034634627936,-0.00791651206714446,-0.0002400638641848044,-0.006027431508878028,0.00412586145225081,-0.007617990972283384,-0.0007802446417241133,-0.0013130853488979438
